GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,A41AA1970,A41AA1980,A41AA1990,A41AA2000,A41AA2010
G2700010,Minnesota,27,270,Aitkin County,1,10,7798,11124,12934,14168,16029
G2700030,Minnesota,27,270,Anoka County,3,30,40813,62904,85519,108091,126688
G2700050,Minnesota,27,270,Becker County,5,50,10912,15430,15563,16612,18784
G2700070,Minnesota,27,270,Beltrami County,7,70,9590,13099,14670,16989,20527
G2700090,Minnesota,27,270,Benton County,9,90,6018,8812,11521,13460,16140
G2700110,Minnesota,27,270,Big Stone County,11,110,3024,3493,3192,3171,3115
G2700130,Minnesota,27,270,Blue Earth County,13,130,15767,19381,20358,21971,26202
G2700150,Minnesota,27,270,Brown County,15,150,9070,10469,10814,11163,11493
G2700170,Minnesota,27,270,Carlton County,17,170,9044,11782,12342,13721,15656
G2700190,Minnesota,27,270,Carver County,19,190,8264,12585,17449,24883,34536
G2700210,Minnesota,27,270,Cass County,21,210,11004,17586,18863,21286,24903
G2700230,Minnesota,27,270,Chippewa County,23,230,5308,6120,5755,5855,5721
G2700250,Minnesota,27,270,Chisago County,25,250,6430,9561,11946,15533,21172
G2700270,Minnesota,27,270,Clay County,27,270,13942,17811,18546,19746,23959
G2700290,Minnesota,27,270,Clearwater County,29,290,3167,3824,4008,4114,4773
G2700310,Minnesota,27,270,Cook County,31,310,2360,3456,4312,4708,5839
G2700330,Minnesota,27,270,Cottonwood County,33,330,5130,5804,5495,5376,5412
G2700350,Minnesota,27,270,Crow Wing County,35,350,19799,25688,29916,33483,40180
G2700370,Minnesota,27,270,Dakota County,37,370,39224,66872,102707,133750,159598
G2700390,Minnesota,27,270,Dodge County,39,390,4128,5531,5771,6642,7947
G2700410,Minnesota,27,270,Douglas County,41,410,9068,13179,14590,16694,19905
G2700430,Minnesota,27,270,Faribault County,43,430,7232,7950,7416,7247,7090
G2700450,Minnesota,27,270,Fillmore County,45,450,7637,8445,8356,8908,9732
G2700470,Minnesota,27,270,Freeborn County,47,470,12412,13815,13783,13996,14231
G2700490,Minnesota,27,270,Goodhue County,49,490,11424,14368,15936,17879,20337
G2700510,Minnesota,27,270,Grant County,51,510,2908,3192,3178,3098,3324
G2700530,Minnesota,27,270,Hennepin County,53,530,320479,379503,443583,468824,509469
G2700550,Minnesota,27,270,Houston County,55,550,5486,6673,7257,8168,8601
G2700570,Minnesota,27,270,Hubbard County,57,570,6062,9103,10042,12229,14622
G2700590,Minnesota,27,270,Isanti County,59,590,5574,8372,9693,12062,15321
G2700610,Minnesota,27,270,Itasca County,61,610,14944,21221,22494,24528,27065
G2700630,Minnesota,27,270,Jackson County,63,630,4918,5525,5121,5092,4990
G2700650,Minnesota,27,270,Kanabec County,65,650,3735,5485,6098,6846,7849
G2700670,Minnesota,27,270,Kandiyohi County,67,670,11109,15100,16669,18415,19476
G2700690,Minnesota,27,270,Kittson County,69,690,2747,3018,2865,2719,2605
G2700710,Minnesota,27,270,Koochiching County,71,710,6277,7241,7825,7719,7900
G2700730,Minnesota,27,270,Lac qui Parle County,73,730,3984,4272,3955,3774,3692
G2700750,Minnesota,27,270,Lake County,75,750,4942,6110,6776,6840,7681
G2700770,Minnesota,27,270,Lake of the Woods County,77,770,1730,2709,3050,3238,3672
G2700790,Minnesota,27,270,Le Sueur County,79,790,7672,9509,9785,10858,12416
G2700810,Minnesota,27,270,Lincoln County,81,810,2882,3298,3050,3043,3108
G2700830,Minnesota,27,270,Lyon County,83,830,7526,9196,9675,10298,11098
G2700870,Minnesota,27,270,Mahnomen County,87,870,2148,2410,2505,2700,2786
G2700890,Minnesota,27,270,Marshall County,89,890,4660,5253,5049,4791,4812
G2700910,Minnesota,27,270,Martin County,91,910,8451,9784,9847,9800,10009
G2700850,Minnesota,27,270,McLeod County,85,850,8767,10916,12391,14087,15760
G2700930,Minnesota,27,270,Meeker County,93,930,6741,8539,9139,9821,10674
G2700950,Minnesota,27,270,Mille Lacs County,95,950,6055,8290,9065,10467,12750
G2700970,Minnesota,27,270,Morrison County,97,970,9055,11619,12434,13870,15731
G2700990,Minnesota,27,270,Mower County,99,990,13980,15679,15831,16251,17027
G2701010,Minnesota,27,270,Murray County,101,1010,4236,4679,4611,4357,4556
G2701030,Minnesota,27,270,Nicollet County,103,1030,6843,8959,9963,11240,12873
G2701050,Minnesota,27,270,Nobles County,105,1050,7386,8212,8094,8465,8535
G2701070,Minnesota,27,270,Norman County,107,1070,3722,4018,3648,3455,3421
G2701090,Minnesota,27,270,Olmsted County,109,1090,26639,34345,41603,49422,60495
G2701110,Minnesota,27,270,Otter Tail County,111,1110,20486,26953,29295,33862,35594
G2701130,Minnesota,27,270,Pennington County,113,1130,4451,5981,5682,6033,6297
G2701150,Minnesota,27,270,Pine County,115,1150,7102,10299,12738,15353,17276
G2701170,Minnesota,27,270,Pipestone County,117,1170,4286,4636,4387,4434,4483
G2701190,Minnesota,27,270,Polk County,119,1190,12343,14766,14275,14008,14610
G2701210,Minnesota,27,270,Pope County,121,1210,4500,5658,5836,5827,6435
G2701230,Minnesota,27,270,Ramsey County,123,1230,153623,176995,201016,206448,217197
G2701250,Minnesota,27,270,Red Lake County,125,1250,1675,2041,1899,1883,1948
G2701270,Minnesota,27,270,Redwood County,127,1270,6718,7388,7144,7230,7272
G2701290,Minnesota,27,270,Renville County,129,1290,7190,7905,7442,7413,7355
G2701310,Minnesota,27,270,Rice County,131,1310,12330,15667,17520,20061,24453
G2701330,Minnesota,27,270,Rock County,133,1330,3680,4095,3963,4137,4262
G2701350,Minnesota,27,270,Roseau County,135,1350,3983,5034,6236,7101,7469
G2701390,Minnesota,27,270,Scott County,139,1390,8789,14187,20302,31609,47124
G2701410,Minnesota,27,270,Sherburne County,141,1410,6448,10338,14964,22827,32379
G2701430,Minnesota,27,270,Sibley County,143,1430,4991,5628,5625,6024,6582
G2701370,Minnesota,27,270,St. Louis County,137,1370,80859,95324,95403,95800,103058
G2701450,Minnesota,27,270,Stearns County,145,1450,26089,35961,43806,50291,61974
G2701470,Minnesota,27,270,Steele County,147,1470,8758,11255,11840,13306,15343
G2701490,Minnesota,27,270,Stevens County,149,1490,3594,4222,4108,4074,4160
G2701510,Minnesota,27,270,Swift County,151,1510,4717,5182,4795,4821,4835
G2701530,Minnesota,27,270,Todd County,153,1530,8253,10691,11234,11900,12917
G2701550,Minnesota,27,270,Traverse County,155,1550,2298,2409,2220,2199,2073
G2701570,Minnesota,27,270,Wabasha County,157,1570,5827,7604,8205,9066,9997
G2701590,Minnesota,27,270,Wadena County,159,1590,4280,5438,5801,6334,6899
G2701610,Minnesota,27,270,Waseca County,161,1610,5406,6884,7011,7427,7903
G2701630,Minnesota,27,270,Washington County,163,1630,22752,37182,51648,73635,92374
G2701650,Minnesota,27,270,Watonwan County,165,1650,4583,4949,4886,5036,5047
G2701670,Minnesota,27,270,Wilkin County,167,1670,3041,3285,3140,3105,3078
G2701690,Minnesota,27,270,Winona County,169,1690,13682,16503,17630,19551,20760
G2701710,Minnesota,27,270,Wright County,171,1710,14238,21795,26353,34355,49000
G2701730,Minnesota,27,270,Yellow Medicine County,173,1730,5003,5386,4983,4873,4760
